STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,GEOIDFQ,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
"36","061","008000","5","360610080005",1500000US360610080005,Block Group 5,G5030,S,25502,0,"+40.7511400","-073.9773289"
"36","061","001200","3","360610012003",1500000US360610012003,Block Group 3,G5030,S,36076,0,"+40.7152160","-073.9802846"
"36","061","002400","2","360610024002",1500000US360610024002,Block Group 2,G5030,S,75138,0,"+40.7232443","-073.9730207"
"36","061","001002","1","360610010021",1500000US360610010021,Block Group 1,G5030,S,40446,0,"+40.7184866","-073.9785882"
"36","061","006500","3","360610065003",1500000US360610065003,Block Group 3,G5030,S,36018,0,"+40.7290510","-074.0015914"
"36","061","006300","3","360610063003",1500000US360610063003,Block Group 3,G5030,S,23201,0,"+40.7338167","-073.9973167"
"36","061","001600","1","360610016001",1500000US360610016001,Block Group 1,G5030,S,84532,0,"+40.7160302","-073.9951093"
"36","061","011500","1","360610115001",1500000US360610115001,Block Group 1,G5030,S,87821,0,"+40.7565692","-073.9921294"
"36","061","007100","4","360610071004",1500000US360610071004,Block Group 4,G5030,S,30790,0,"+40.7351036","-074.0009157"
"36","061","001300","2","360610013002",1500000US360610013002,Block Group 2,G5030,S,57919,0,"+40.7057192","-074.0149836"
"36","061","001401","1","360610014011",1500000US360610014011,Block Group 1,G5030,S,56638,0,"+40.7152718","-073.9885097"
"36","061","001402","2","360610014022",1500000US360610014022,Block Group 2,G5030,S,57077,0,"+40.7172594","-073.9850476"
"36","061","001501","1","360610015011",1500000US360610015011,Block Group 1,G5030,S,98114,0,"+40.7108924","-074.0059333"
"36","061","001502","1","360610015021",1500000US360610015021,Block Group 1,G5030,S,28604,0,"+40.7097375","-074.0091574"
"36","061","001800","2","360610018002",1500000US360610018002,Block Group 2,G5030,S,32631,0,"+40.7183611","-073.9891651"
"36","061","001800","4","360610018004",1500000US360610018004,Block Group 4,G5030,S,21687,0,"+40.7201749","-073.9909796"
"36","061","001800","5","360610018005",1500000US360610018005,Block Group 5,G5030,S,62459,0,"+40.7197982","-073.9932105"
"36","061","002000","1","360610020001",1500000US360610020001,Block Group 1,G5030,S,77124,0,"+40.7206299","-073.9750259"
"36","061","002100","1","360610021001",1500000US360610021001,Block Group 1,G5030,S,61166,0,"+40.7145358","-074.0080150"
"36","061","002201","1","360610022011",1500000US360610022011,Block Group 1,G5030,S,34177,0,"+40.7204667","-073.9828856"
"36","061","002201","2","360610022012",1500000US360610022012,Block Group 2,G5030,S,32157,0,"+40.7192644","-073.9834900"
"36","061","002202","1","360610022021",1500000US360610022021,Block Group 1,G5030,S,56108,0,"+40.7212597","-073.9811410"
"36","061","005200","2","360610052002",1500000US360610052002,Block Group 2,G5030,S,85309,0,"+40.7375603","-073.9913768"
"36","061","003601","1","360610036011",1500000US360610036011,Block Group 1,G5030,S,20483,0,"+40.7218441","-073.9896236"
"36","061","002601","2","360610026012",1500000US360610026012,Block Group 2,G5030,S,52703,0,"+40.7230867","-073.9811222"
"36","061","008000","1","360610080001",1500000US360610080001,Block Group 1,G5030,S,49487,0,"+40.7498429","-073.9761680"
"36","061","007100","1","360610071001",1500000US360610071001,Block Group 1,G5030,S,24011,0,"+40.7376106","-073.9985099"
"36","061","013300","4","360610133004",1500000US360610133004,Block Group 4,G5030,S,43641,0,"+40.7659624","-073.9889991"
"36","061","013300","2","360610133002",1500000US360610133002,Block Group 2,G5030,S,31761,0,"+40.7637304","-073.9872260"
"36","061","006400","1","360610064001",1500000US360610064001,Block Group 1,G5030,S,36587,0,"+40.7383588","-073.9820264"
"36","061","006400","2","360610064002",1500000US360610064002,Block Group 2,G5030,S,33023,0,"+40.7370919","-073.9829493"
"36","061","006500","2","360610065002",1500000US360610065002,Block Group 2,G5030,S,19976,0,"+40.7299423","-074.0005141"
"36","061","006500","4","360610065004",1500000US360610065004,Block Group 4,G5030,S,22230,0,"+40.7278645","-074.0001736"
"36","061","006500","5","360610065005",1500000US360610065005,Block Group 5,G5030,S,24765,0,"+40.7290629","-073.9991628"
"36","061","006600","1","360610066001",1500000US360610066001,Block Group 1,G5030,S,16943,0,"+40.7418065","-073.9795132"
"36","061","006600","2","360610066002",1500000US360610066002,Block Group 2,G5030,S,17225,0,"+40.7411833","-073.9799620"
